ID,Template Name,Provider,Template ID,Alias,Rate Limit
b2c3d4e5-2345-4b6c-9d0e-1f2a3b4c5d6e,gn-b2b-onboarding-started-kyb-process-fr,POSTMARK,42077229,gn-b2b-onboarding-started-kyb-process-fr,50
b4c5d6e7-4567-4b8c-1d2e-3f4a5b6c7d8e,gn-b2b-onboarding-completed-fr,POSTMARK,42075905,gn-b2b-onboarding-completed-fr,50
b8c9d0e1-8901-4b2c-5d6e-7f8a9b0c1d2e,gn-b2b-onboarding-document-rejected-fr,POSTMARK,42088429,gn-b2b-onboarding-document-rejected-fr,50
c3d4e5f6-3456-4c7d-0e1f-2a3b4c5d6e7f,gn-b2b-onboarding-legal-compliance-requirement-en,POSTMARK,42077246,gn-b2b-onboarding-legal-compliance-requirement-en,50
c8409c25-49cd-45c5-b67d-dfab7d7ad5b5,email_document_ready_fr,POSTMARK,41368699,email_document_ready_fr,50
c9d0e1f2-9012-4c3d-6e7f-8a9b0c1d2e3f,gn-b2b-onboarding-expired-or-missing-document-en,POSTMARK,42088430,gn-b2b-onboarding-expired-or-missing-document-en,50
d0e1f2a3-0123-4d4e-7f8a-9b0c1d2e3f4a,gn-b2b-onboarding-expired-or-missing-document-fr,POSTMARK,42088430,gn-b2b-onboarding-expired-or-missing-document-fr,50
d4e5f6a7-4567-4d8e-1f2a-3b4c5d6e7f8a,gn-b2b-onboarding-legal-compliance-requirement-fr,POSTMARK,42077228,gn-b2b-onboarding-legal-compliance-requirement-fr,50
e1f2a3b4-1234-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-onboarding-incomplete-en,POSTMARK,42088411,gn-b2b-onboarding-incomplete-en,50
e5f6a7b8-5678-4e9f-2a3b-4c5d6e7f8a9b,gn-b2b-onboarding-kyb-validated-en,POSTMARK,42088288,gn-b2b-onboarding-kyb-validated-en,50
e6c3a296-0831-498e-adb9-1d203895ac57,gn-b2b-receipt-missing-24h-fr,POSTMARK,41981463,gn-b2b-receipt-missing-24h-fr,50
ebeed252-7ad1-4727-9e32-6d801a21bdaa,gn-b2b-receipt-missing-72h-en,POSTMARK,41981487,gn-b2b-receipt-missing-72h-en,50
f2a3b4c5-2345-4f6a-9b0c-1d2e3f4a5b6c,gn-b2b-onboarding-incomplete-fr,POSTMARK,42088399,gn-b2b-onboarding-incomplete-fr,50
f6a7b8c9-6789-4f0a-3b4c-5d6e7f8a9b0c,gn-b2b-onboarding-kyb-validated-fr,POSTMARK,42088263,gn-b2b-onboarding-kyb-validated-fr,50
